replicas,requests,interval,availability_percent,total_requests,satisfied_requests,mean_latency,median_latency,std_latency,p95_latency
10,1000,1000,100.0,1000,1000,0.0984205021858215,0.0968295335769653,0.013828408005550718,0.1210640549659729
10,1000,1000,100.0,1000,1000,0.17710699796676635,0.17507851123809814,0.035664582643514645,0.22991420030593862
10,1000,1000,100.0,1000,1000,0.1664587676525116,0.16375148296356196,0.028723928544132072,0.21278724670410143
10,1000,1000,100.0,1000,1000,0.09640000748634335,0.09478545188903806,0.01784951505904311,0.11653935909271235
10,1000,1000,100.0,1000,1000,0.0984205021858215,0.0968295335769653,0.013828408005550718,0.1210640549659729
10,1000,1000,100.0,1000,1000,0.17710699796676635,0.17507851123809814,0.035664582643514645,0.22991420030593862
10,1000,1000,100.0,1000,1000,0.1664587676525116,0.16375148296356196,0.028723928544132072,0.21278724670410143
10,1000,1000,100.0,1000,1000,0.09640000748634335,0.09478545188903806,0.01784951505904311,0.11653935909271235
10,1000,1000,100.0,1000,1000,0.0984205021858215,0.0968295335769653,0.013828408005550718,0.1210640549659729
10,1000,1000,100.0,1000,1000,0.17710699796676635,0.17507851123809814,0.035664582643514645,0.22991420030593862
10,1000,1000,100.0,1000,1000,0.1664587676525116,0.16375148296356196,0.028723928544132072,0.21278724670410143
10,1000,1000,100.0,1000,1000,0.09640000748634335,0.09478545188903806,0.01784951505904311,0.11653935909271235
10,1000,1000,100.0,1000,1000,0.0984205021858215,0.0968295335769653,0.013828408005550718,0.1210640549659729
10,1000,1000,100.0,1000,1000,0.17710699796676635,0.17507851123809814,0.035664582643514645,0.22991420030593862
10,1000,1000,100.0,1000,1000,0.1664587676525116,0.16375148296356196,0.028723928544132072,0.21278724670410143
10,1000,1000,100.0,1000,1000,0.09640000748634335,0.09478545188903806,0.01784951505904311,0.11653935909271235
10,1000,200,99.9,1000,999,0.09265715032965091,0.0911090373992919,0.015827017736694447,0.11982407569885252
10,1000,200,99.9,1000,999,0.15361024374249338,0.1582199335098266,0.03083336867259128,0.19302226305007927
10,1000,200,99.9,1000,999,0.09376551464707672,0.0920889377593994,0.015053695949539793,0.12166979312896724
10,1000,200,99.9,1000,999,0.08861434471619138,0.0873661041259765,0.014958000887442903,0.11155543327331537
10,1000,200,87.0,1000,870,0.09265715032965091,0.0911090373992919,0.015827017736694447,0.11982407569885252
10,1000,200,87.0,1000,870,0.15361024374249338,0.1582199335098266,0.03083336867259128,0.19302226305007927
10,1000,200,87.0,1000,870,0.09376551464707672,0.0920889377593994,0.015053695949539793,0.12166979312896724
10,1000,200,87.0,1000,870,0.08861434471619138,0.0873661041259765,0.014958000887442903,0.11155543327331537
10,1000,200,99.8,1000,998,0.09265715032965091,0.0911090373992919,0.015827017736694447,0.11982407569885252
10,1000,200,99.8,1000,998,0.15361024374249338,0.1582199335098266,0.03083336867259128,0.19302226305007927
10,1000,200,99.8,1000,998,0.09376551464707672,0.0920889377593994,0.015053695949539793,0.12166979312896724
10,1000,200,99.8,1000,998,0.08861434471619138,0.0873661041259765,0.014958000887442903,0.11155543327331537
10,1000,200,99.9,1000,999,0.09265715032965091,0.0911090373992919,0.015827017736694447,0.11982407569885252
10,1000,200,99.9,1000,999,0.15361024374249338,0.1582199335098266,0.03083336867259128,0.19302226305007927
10,1000,200,99.9,1000,999,0.09376551464707672,0.0920889377593994,0.015053695949539793,0.12166979312896724
10,1000,200,99.9,1000,999,0.08861434471619138,0.0873661041259765,0.014958000887442903,0.11155543327331537
10,1000,50,0.0,1000,0,0.045263051986694294,0.045263051986694294,0.012863555340312931,0.053449368476867626
10,1000,50,0.0,1000,0,0.0514209270477294,0.0514209270477294,,0.0514209270477294
10,1000,50,0.0,1000,0,0.045263051986694294,0.045263051986694294,0.012863555340312931,0.053449368476867626
10,1000,50,0.0,1000,0,0.0514209270477294,0.0514209270477294,,0.0514209270477294
10,1000,50,0.2,1000,2,0.045263051986694294,0.045263051986694294,0.012863555340312931,0.053449368476867626
10,1000,50,0.2,1000,2,0.0514209270477294,0.0514209270477294,,0.0514209270477294
10,1000,50,0.1,1000,1,0.045263051986694294,0.045263051986694294,0.012863555340312931,0.053449368476867626
10,1000,50,0.1,1000,1,0.0514209270477294,0.0514209270477294,,0.0514209270477294
10,1000,500,100.0,1000,1000,0.09615995430946347,0.0944796800613403,0.014893086138029778,0.11870778799057001
10,1000,500,100.0,1000,1000,0.19042466589826382,0.18319702148437494,0.03647506343714096,0.2599154710769653
10,1000,500,100.0,1000,1000,0.18820357060432433,0.18110501766204828,0.035088358665120084,0.250742745399475
10,1000,500,100.0,1000,1000,0.0923168439865112,0.09166502952575681,0.01308403429564784,0.11353451013565054
10,1000,500,99.8,1000,998,0.09615995430946347,0.0944796800613403,0.014893086138029778,0.11870778799057001
10,1000,500,99.8,1000,998,0.19042466589826382,0.18319702148437494,0.03647506343714096,0.2599154710769653
10,1000,500,99.8,1000,998,0.18820357060432433,0.18110501766204828,0.035088358665120084,0.250742745399475
10,1000,500,99.8,1000,998,0.0923168439865112,0.09166502952575681,0.01308403429564784,0.11353451013565054
10,1000,500,100.0,1000,1000,0.09615995430946347,0.0944796800613403,0.014893086138029778,0.11870778799057001
10,1000,500,100.0,1000,1000,0.19042466589826382,0.18319702148437494,0.03647506343714096,0.2599154710769653
10,1000,500,100.0,1000,1000,0.18820357060432433,0.18110501766204828,0.035088358665120084,0.250742745399475
10,1000,500,100.0,1000,1000,0.0923168439865112,0.09166502952575681,0.01308403429564784,0.11353451013565054
10,1000,500,100.0,1000,1000,0.09615995430946347,0.0944796800613403,0.014893086138029778,0.11870778799057001
10,1000,500,100.0,1000,1000,0.19042466589826382,0.18319702148437494,0.03647506343714096,0.2599154710769653
10,1000,500,100.0,1000,1000,0.18820357060432433,0.18110501766204828,0.035088358665120084,0.250742745399475
10,1000,500,100.0,1000,1000,0.0923168439865112,0.09166502952575681,0.01308403429564784,0.11353451013565054
10,100,1000,100.0,100,100,0.10706841707229611,0.1050753593444824,0.01949326279181163,0.12820421457290643
10,100,1000,100.0,100,100,0.18561580896377564,0.17787194252014155,0.045432720149653986,0.23540978431701656
10,100,1000,100.0,100,100,0.10114943504333493,0.0995494127273559,0.02130747340070395,0.11901878118515007
10,100,1000,100.0,100,100,0.10706841707229611,0.1050753593444824,0.01949326279181163,0.12820421457290643
10,100,1000,100.0,100,100,0.18561580896377564,0.17787194252014155,0.045432720149653986,0.23540978431701656
10,100,1000,100.0,100,100,0.10114943504333493,0.0995494127273559,0.02130747340070395,0.11901878118515007
10,100,1000,100.0,100,100,0.10706841707229611,0.1050753593444824,0.01949326279181163,0.12820421457290643
10,100,1000,100.0,100,100,0.18561580896377564,0.17787194252014155,0.045432720149653986,0.23540978431701656
10,100,1000,100.0,100,100,0.10114943504333493,0.0995494127273559,0.02130747340070395,0.11901878118515007
10,100,200,98.0,100,98,0.10049344568836442,0.09736299514770505,0.01810583560503213,0.13150819540023798
10,100,200,98.0,100,98,0.15347995928355623,0.1586149930953979,0.02809192345801585,0.1957441449165343
10,100,200,98.0,100,98,0.10371085575648713,0.10247600078582755,0.019016608550048796,0.13752459287643432
10,100,200,98.0,100,98,0.09574873038012569,0.0947239398956298,0.01638558282431904,0.12660837173461914
10,100,200,84.0,100,84,0.10049344568836442,0.09736299514770505,0.01810583560503213,0.13150819540023798
10,100,200,84.0,100,84,0.15347995928355623,0.1586149930953979,0.02809192345801585,0.1957441449165343
10,100,200,84.0,100,84,0.10371085575648713,0.10247600078582755,0.019016608550048796,0.13752459287643432
10,100,200,84.0,100,84,0.09574873038012569,0.0947239398956298,0.01638558282431904,0.12660837173461914
10,100,200,98.0,100,98,0.10049344568836442,0.09736299514770505,0.01810583560503213,0.13150819540023798
10,100,200,98.0,100,98,0.15347995928355623,0.1586149930953979,0.02809192345801585,0.1957441449165343
10,100,200,98.0,100,98,0.10371085575648713,0.10247600078582755,0.019016608550048796,0.13752459287643432
10,100,200,98.0,100,98,0.09574873038012569,0.0947239398956298,0.01638558282431904,0.12660837173461914
10,100,200,99.0,100,99,0.10049344568836442,0.09736299514770505,0.01810583560503213,0.13150819540023798
10,100,200,99.0,100,99,0.15347995928355623,0.1586149930953979,0.02809192345801585,0.1957441449165343
10,100,200,99.0,100,99,0.10371085575648713,0.10247600078582755,0.019016608550048796,0.13752459287643432
10,100,200,99.0,100,99,0.09574873038012569,0.0947239398956298,0.01638558282431904,0.12660837173461914
10,100,50,2.0,100,2,0.0561299324035644,0.0561299324035644,0.00025052086754880814,0.05628936290740965
10,100,50,0.0,100,0,0.0561299324035644,0.0561299324035644,0.00025052086754880814,0.05628936290740965
10,100,50,0.0,100,0,0.0561299324035644,0.0561299324035644,0.00025052086754880814,0.05628936290740965
10,100,50,0.0,100,0,0.0561299324035644,0.0561299324035644,0.00025052086754880814,0.05628936290740965
10,100,500,100.0,100,100,0.10719325780868527,0.10403645038604731,0.024259362236327554,0.1345337390899658
10,100,500,100.0,100,100,0.18436905832001657,0.1821010112762451,0.026992828772650596,0.2440090894699096
10,100,500,100.0,100,100,0.10260238409042355,0.1025300025939941,0.019333225371143462,0.12291018962860104
10,100,500,100.0,100,100,0.10454480886459347,0.1013766527175903,0.02810532542457458,0.1307248353958129
10,100,500,99.0,100,99,0.10719325780868527,0.10403645038604731,0.024259362236327554,0.1345337390899658
10,100,500,99.0,100,99,0.18436905832001657,0.1821010112762451,0.026992828772650596,0.2440090894699096
10,100,500,99.0,100,99,0.10260238409042355,0.1025300025939941,0.019333225371143462,0.12291018962860104
10,100,500,99.0,100,99,0.10454480886459347,0.1013766527175903,0.02810532542457458,0.1307248353958129
10,100,500,100.0,100,100,0.10719325780868527,0.10403645038604731,0.024259362236327554,0.1345337390899658
10,100,500,100.0,100,100,0.18436905832001657,0.1821010112762451,0.026992828772650596,0.2440090894699096
10,100,500,100.0,100,100,0.10260238409042355,0.1025300025939941,0.019333225371143462,0.12291018962860104
10,100,500,100.0,100,100,0.10454480886459347,0.1013766527175903,0.02810532542457458,0.1307248353958129
10,100,500,100.0,100,100,0.10719325780868527,0.10403645038604731,0.024259362236327554,0.1345337390899658
10,100,500,100.0,100,100,0.18436905832001657,0.1821010112762451,0.026992828772650596,0.2440090894699096
10,100,500,100.0,100,100,0.10260238409042355,0.1025300025939941,0.019333225371143462,0.12291018962860104
10,100,500,100.0,100,100,0.10454480886459347,0.1013766527175903,0.02810532542457458,0.1307248353958129
10,10,1000,100.0,10,10,0.1372824907302856,0.1219074726104736,0.05497874762000764,0.22013928890228252
10,10,1000,100.0,10,10,0.2378620147705078,0.20516204833984375,0.09913094512569286,0.4017263889312741
10,10,1000,100.0,10,10,0.13238468170166012,0.11968207359313959,0.046146269703633405,0.2058350086212157
10,10,1000,100.0,10,10,0.1391855716705322,0.12325549125671384,0.051051054340754506,0.2154530882835386
10,10,1000,100.0,10,10,0.1372824907302856,0.1219074726104736,0.05497874762000764,0.22013928890228252
10,10,1000,100.0,10,10,0.2378620147705078,0.20516204833984375,0.09913094512569286,0.4017263889312741
10,10,1000,100.0,10,10,0.13238468170166012,0.11968207359313959,0.046146269703633405,0.2058350086212157
10,10,1000,100.0,10,10,0.1391855716705322,0.12325549125671384,0.051051054340754506,0.2154530882835386
10,10,1000,100.0,10,10,0.1372824907302856,0.1219074726104736,0.05497874762000764,0.22013928890228252
10,10,1000,100.0,10,10,0.2378620147705078,0.20516204833984375,0.09913094512569286,0.4017263889312741
10,10,1000,100.0,10,10,0.13238468170166012,0.11968207359313959,0.046146269703633405,0.2058350086212157
10,10,1000,100.0,10,10,0.1391855716705322,0.12325549125671384,0.051051054340754506,0.2154530882835386
10,10,1000,100.0,10,10,0.1372824907302856,0.1219074726104736,0.05497874762000764,0.22013928890228252
10,10,1000,100.0,10,10,0.2378620147705078,0.20516204833984375,0.09913094512569286,0.4017263889312741
10,10,1000,100.0,10,10,0.13238468170166012,0.11968207359313959,0.046146269703633405,0.2058350086212157
10,10,1000,100.0,10,10,0.1391855716705322,0.12325549125671384,0.051051054340754506,0.2154530882835386
10,10,200,80.0,10,8,0.1083121299743652,0.1165165901184082,0.01855959368496179,0.127113127708435
10,10,200,80.0,10,8,0.1664253075917561,0.1817588806152343,0.03285194928349414,0.18810219764709465
10,10,200,80.0,10,8,0.09558508131239145,0.0999660491943359,0.024443428143448607,0.11990361213684075
10,10,200,80.0,10,8,0.10286548402574323,0.1060888767242431,0.02793612939801559,0.12982406616210934
10,10,200,30.0,10,3,0.1083121299743652,0.1165165901184082,0.01855959368496179,0.127113127708435
10,10,200,30.0,10,3,0.1664253075917561,0.1817588806152343,0.03285194928349414,0.18810219764709465
10,10,200,30.0,10,3,0.09558508131239145,0.0999660491943359,0.024443428143448607,0.11990361213684075
10,10,200,30.0,10,3,0.10286548402574323,0.1060888767242431,0.02793612939801559,0.12982406616210934
10,10,200,90.0,10,9,0.1083121299743652,0.1165165901184082,0.01855959368496179,0.127113127708435
10,10,200,90.0,10,9,0.1664253075917561,0.1817588806152343,0.03285194928349414,0.18810219764709465
10,10,200,90.0,10,9,0.09558508131239145,0.0999660491943359,0.024443428143448607,0.11990361213684075
10,10,200,90.0,10,9,0.10286548402574323,0.1060888767242431,0.02793612939801559,0.12982406616210934
10,10,200,90.0,10,9,0.1083121299743652,0.1165165901184082,0.01855959368496179,0.127113127708435
10,10,200,90.0,10,9,0.1664253075917561,0.1817588806152343,0.03285194928349414,0.18810219764709465
10,10,200,90.0,10,9,0.09558508131239145,0.0999660491943359,0.024443428143448607,0.11990361213684075
10,10,200,90.0,10,9,0.10286548402574323,0.1060888767242431,0.02793612939801559,0.12982406616210934
10,10,50,10.0,10,1,0.1347129344940185,0.1347129344940185,,0.1347129344940185
10,10,50,10.0,10,1,0.7564868927001953,0.7564868927001953,,0.7564868927001953
10,10,50,10.0,10,1,0.1815409660339355,0.1815409660339355,,0.1815409660339355
10,10,50,10.0,10,1,0.0926849842071533,0.0926849842071533,,0.0926849842071533
10,10,50,10.0,10,1,0.1347129344940185,0.1347129344940185,,0.1347129344940185
10,10,50,10.0,10,1,0.7564868927001953,0.7564868927001953,,0.7564868927001953
10,10,50,10.0,10,1,0.1815409660339355,0.1815409660339355,,0.1815409660339355
10,10,50,10.0,10,1,0.0926849842071533,0.0926849842071533,,0.0926849842071533
10,10,50,10.0,10,1,0.1347129344940185,0.1347129344940185,,0.1347129344940185
10,10,50,10.0,10,1,0.7564868927001953,0.7564868927001953,,0.7564868927001953
10,10,50,10.0,10,1,0.1815409660339355,0.1815409660339355,,0.1815409660339355
10,10,50,10.0,10,1,0.0926849842071533,0.0926849842071533,,0.0926849842071533
10,10,50,10.0,10,1,0.1347129344940185,0.1347129344940185,,0.1347129344940185
10,10,50,10.0,10,1,0.7564868927001953,0.7564868927001953,,0.7564868927001953
10,10,50,10.0,10,1,0.1815409660339355,0.1815409660339355,,0.1815409660339355
10,10,50,10.0,10,1,0.0926849842071533,0.0926849842071533,,0.0926849842071533
10,10,500,100.0,10,10,0.13008906841278073,0.11519145965576169,0.053885503061606686,0.21185321807861307
10,10,500,100.0,10,10,0.26099157333374023,0.22575902938842768,0.0902280729329988,0.41945968866348254
10,10,500,100.0,10,10,0.12863605022430416,0.11642456054687494,0.04435738810835373,0.19839689731597887
10,10,500,100.0,10,10,0.136966323852539,0.1170690059661865,0.06031876537798723,0.22781447172164898
10,10,500,100.0,10,10,0.13008906841278073,0.11519145965576169,0.053885503061606686,0.21185321807861307
10,10,500,100.0,10,10,0.26099157333374023,0.22575902938842768,0.0902280729329988,0.41945968866348254
10,10,500,100.0,10,10,0.12863605022430416,0.11642456054687494,0.04435738810835373,0.19839689731597887
10,10,500,100.0,10,10,0.136966323852539,0.1170690059661865,0.06031876537798723,0.22781447172164898
10,10,500,100.0,10,10,0.13008906841278073,0.11519145965576169,0.053885503061606686,0.21185321807861307
10,10,500,100.0,10,10,0.26099157333374023,0.22575902938842768,0.0902280729329988,0.41945968866348254
10,10,500,100.0,10,10,0.12863605022430416,0.11642456054687494,0.04435738810835373,0.19839689731597887
10,10,500,100.0,10,10,0.136966323852539,0.1170690059661865,0.06031876537798723,0.22781447172164898
10,10,500,100.0,10,10,0.13008906841278073,0.11519145965576169,0.053885503061606686,0.21185321807861307
10,10,500,100.0,10,10,0.26099157333374023,0.22575902938842768,0.0902280729329988,0.41945968866348254
10,10,500,100.0,10,10,0.12863605022430416,0.11642456054687494,0.04435738810835373,0.19839689731597887
10,10,500,100.0,10,10,0.136966323852539,0.1170690059661865,0.06031876537798723,0.22781447172164898
10,1,1000,100.0,1,1,0.3650128841400146,0.3650128841400146,,0.3650128841400146
10,1,1000,100.0,1,1,0.5199050903320312,0.5199050903320312,,0.5199050903320312
10,1,1000,100.0,1,1,0.2564108371734619,0.2564108371734619,,0.2564108371734619
10,1,1000,100.0,1,1,0.3068270683288574,0.3068270683288574,,0.3068270683288574
10,1,1000,100.0,1,1,0.3650128841400146,0.3650128841400146,,0.3650128841400146
10,1,1000,100.0,1,1,0.5199050903320312,0.5199050903320312,,0.5199050903320312
10,1,1000,100.0,1,1,0.2564108371734619,0.2564108371734619,,0.2564108371734619
10,1,1000,100.0,1,1,0.3068270683288574,0.3068270683288574,,0.3068270683288574
10,1,1000,100.0,1,1,0.3650128841400146,0.3650128841400146,,0.3650128841400146
10,1,1000,100.0,1,1,0.5199050903320312,0.5199050903320312,,0.5199050903320312
10,1,1000,100.0,1,1,0.2564108371734619,0.2564108371734619,,0.2564108371734619
10,1,1000,100.0,1,1,0.3068270683288574,0.3068270683288574,,0.3068270683288574
10,1,1000,100.0,1,1,0.3650128841400146,0.3650128841400146,,0.3650128841400146
10,1,1000,100.0,1,1,0.5199050903320312,0.5199050903320312,,0.5199050903320312
10,1,1000,100.0,1,1,0.2564108371734619,0.2564108371734619,,0.2564108371734619
10,1,1000,100.0,1,1,0.3068270683288574,0.3068270683288574,,0.3068270683288574
10,1,200,100.0,1,1,0.2702889442443847,0.2702889442443847,,0.2702889442443847
10,1,200,100.0,1,1,0.4788031578063965,0.4788031578063965,,0.4788031578063965
10,1,200,100.0,1,1,0.2442579269409179,0.2442579269409179,,0.2442579269409179
10,1,200,100.0,1,1,0.3463180065155029,0.3463180065155029,,0.3463180065155029
10,1,200,100.0,1,1,0.2702889442443847,0.2702889442443847,,0.2702889442443847
10,1,200,100.0,1,1,0.4788031578063965,0.4788031578063965,,0.4788031578063965
10,1,200,100.0,1,1,0.2442579269409179,0.2442579269409179,,0.2442579269409179
10,1,200,100.0,1,1,0.3463180065155029,0.3463180065155029,,0.3463180065155029
10,1,200,100.0,1,1,0.2702889442443847,0.2702889442443847,,0.2702889442443847
10,1,200,100.0,1,1,0.4788031578063965,0.4788031578063965,,0.4788031578063965
10,1,200,100.0,1,1,0.2442579269409179,0.2442579269409179,,0.2442579269409179
10,1,200,100.0,1,1,0.3463180065155029,0.3463180065155029,,0.3463180065155029
10,1,200,100.0,1,1,0.2702889442443847,0.2702889442443847,,0.2702889442443847
10,1,200,100.0,1,1,0.4788031578063965,0.4788031578063965,,0.4788031578063965
10,1,200,100.0,1,1,0.2442579269409179,0.2442579269409179,,0.2442579269409179
10,1,200,100.0,1,1,0.3463180065155029,0.3463180065155029,,0.3463180065155029
10,1,50,100.0,1,1,0.3535380363464355,0.3535380363464355,,0.3535380363464355
10,1,50,100.0,1,1,0.4858541488647461,0.4858541488647461,,0.4858541488647461
10,1,50,100.0,1,1,0.2507820129394531,0.2507820129394531,,0.2507820129394531
10,1,50,100.0,1,1,0.2867288589477539,0.2867288589477539,,0.2867288589477539
10,1,50,100.0,1,1,0.3535380363464355,0.3535380363464355,,0.3535380363464355
10,1,50,100.0,1,1,0.4858541488647461,0.4858541488647461,,0.4858541488647461
10,1,50,100.0,1,1,0.2507820129394531,0.2507820129394531,,0.2507820129394531
10,1,50,100.0,1,1,0.2867288589477539,0.2867288589477539,,0.2867288589477539
10,1,50,100.0,1,1,0.3535380363464355,0.3535380363464355,,0.3535380363464355
10,1,50,100.0,1,1,0.4858541488647461,0.4858541488647461,,0.4858541488647461
10,1,50,100.0,1,1,0.2507820129394531,0.2507820129394531,,0.2507820129394531
10,1,50,100.0,1,1,0.2867288589477539,0.2867288589477539,,0.2867288589477539
10,1,50,100.0,1,1,0.3535380363464355,0.3535380363464355,,0.3535380363464355
10,1,50,100.0,1,1,0.4858541488647461,0.4858541488647461,,0.4858541488647461
10,1,50,100.0,1,1,0.2507820129394531,0.2507820129394531,,0.2507820129394531
10,1,50,100.0,1,1,0.2867288589477539,0.2867288589477539,,0.2867288589477539
10,1,500,100.0,1,1,0.3686399459838867,0.3686399459838867,,0.3686399459838867
10,1,500,100.0,1,1,0.611224889755249,0.611224889755249,,0.611224889755249
